"table_name","column_name","data_type","character_maximum_length","is_nullable","column_default","column_description"
"company_profile","id","uuid","null","NO","gen_random_uuid()","null"
"company_profile","name","text","null","NO","null","null"
"company_profile","email","text","null","YES","null","null"
"company_profile","phone","text","null","YES","null","null"
"company_profile","whatsapp","text","null","YES","null","null"
"company_profile","address","text","null","YES","null","null"
"company_profile","website","text","null","YES","null","null"
"company_profile","logo_url","text","null","YES","null","null"
"company_profile","tax_id","text","null","YES","null","null"
"company_profile","founded_year","text","null","YES","null","null"
"company_profile","instagram","text","null","YES","null","null"
"company_profile","facebook","text","null","YES","null","null"
"company_profile","youtube","text","null","YES","null","null"
"company_profile","twitter","text","null","YES","null","null"
"company_profile","created_at","timestamp with time zone","null","YES","now()","null"
"company_profile","updated_at","timestamp with time zone","null","YES","now()","null"
"customers","id","uuid","null","NO","uuid_generate_v4()","null"
"customers","name","text","null","NO","null","null"
"customers","email","text","null","NO","null","null"
"customers","phone","text","null","YES","null","null"
"customers","address","text","null","YES","null","null"
"customers","notes","text","null","YES","null","null"
"customers","created_at","timestamp with time zone","null","YES","now()","null"
"customers","updated_at","timestamp with time zone","null","YES","now()","null"
"employees","id","uuid","null","NO","uuid_generate_v4()","null"
"employees","name","text","null","NO","null","null"
"employees","email","text","null","NO","null","null"
"employees","phone","text","null","NO","null","null"
"employees","role","text","null","NO","null","null"
"employees","salary","text","null","NO","null","null"
"employees","startdate","text","null","YES","null","null"
"employees","address","text","null","YES","null","null"
"employees","emergencycontact","text","null","YES","null","null"
"employees","notes","text","null","YES","null","null"
"employees","status","text","null","YES","'Active'::text","null"
"employees","created_at","timestamp with time zone","null","YES","now()","null"
"employees","updated_at","timestamp with time zone","null","YES","now()","null"
"event_staff","id","uuid","null","NO","uuid_generate_v4()","null"
"event_staff","event_id","uuid","null","YES","null","null"
"event_staff","employee_id","uuid","null","YES","null","null"
"event_staff","created_at","timestamp with time zone","null","YES","now()","null"
"events","id","uuid","null","NO","uuid_generate_v4()","null"
"events","title","character varying","null","NO","null","null"
"events","date","date","null","NO","null","null"
"events","time","character varying","5","YES","null","null"
"events","venue","character varying","null","YES","null","null"
"events","address","text","null","YES","null","null"
"events","customer_id","uuid","null","YES","null","null"
"events","notes","text","null","YES","null","null"
"events","status","character varying","null","YES","'Upcoming'::character varying","null"
"events","created_at","timestamp with time zone","null","YES","now()","null"
"events","updated_at","timestamp with time zone","null","YES","now()","null"
"invoices","id","uuid","null","NO","uuid_generate_v4()","null"
"invoices","order_id","uuid","null","YES","null","null"
"invoices","customer_name","text","null","NO","null","null"
"invoices","customer_email","text","null","YES","null","null"
"invoices","customer_phone","text","null","YES","null","null"
"invoices","invoice_number","text","null","NO","null","null"
"invoices","invoice_date","text","null","NO","null","null"
"invoices","due_date","text","null","YES","null","null"
"invoices","items","jsonb","null","NO","null","null"
"invoices","subtotal","numeric","null","NO","null","null"
"invoices","tax_rate","numeric","null","YES","0","null"
"invoices","tax_amount","numeric","null","YES","0","null"
"invoices","total_amount","numeric","null","NO","null","null"
"invoices","status","text","null","NO","'Unpaid'::text","null"
"invoices","notes","text","null","YES","null","null"
"invoices","created_at","timestamp with time zone","null","YES","now()","null"
"invoices","updated_at","timestamp with time zone","null","YES","now()","null"
"notifications","id","character varying","null","NO","null","null"
"notifications","type","character varying","null","NO","null","null"
"notifications","title","character varying","null","NO","null","null"
"notifications","message","character varying","null","YES","null","null"
"notifications","is_read","boolean","null","YES","false","null"
"notifications","reference_id","character varying","null","YES","null","null"
"notifications","created_at","timestamp with time zone","null","YES","CURRENT_TIMESTAMP","null"
"order_items","id","uuid","null","NO","uuid_generate_v4()","null"
"order_items","order_id","uuid","null","YES","null","null"
"order_items","product_id","uuid","null","YES","null","null"
"order_items","product_name","text","null","NO","null","null"
"order_items","quantity","integer","null","NO","null","null"
"order_items","unit_price","numeric","null","NO","null","null"
"order_items","total_price","numeric","null","YES","null","null"
"order_items","created_at","timestamp with time zone","null","YES","now()","null"
"order_items","updated_at","timestamp with time zone","null","YES","now()","null"
"order_items","rental_start_date","text","null","YES","null","null"
"order_items","rental_end_date","text","null","YES","null","null"
"orders","id","uuid","null","NO","uuid_generate_v4()","null"
"orders","customer_name","text","null","NO","null","null"
"orders","customer_email","text","null","YES","null","null"
"orders","customer_phone","text","null","YES","null","null"
"orders","order_type","text","null","NO","null","null"
"orders","status","text","null","NO","'Active'::text","null"
"orders","start_date","text","null","YES","null","null"
"orders","end_date","text","null","YES","null","null"
"orders","return_date","text","null","YES","null","null"
"orders","items","jsonb","null","NO","null","null"
"orders","total_amount","numeric","null","NO","null","null"
"orders","deposit_amount","numeric","null","YES","null","null"
"orders","notes","text","null","YES","null","null"
"orders","invoice_id","uuid","null","YES","null","null"
"orders","created_at","timestamp with time zone","null","YES","now()","null"
"orders","updated_at","timestamp with time zone","null","YES","now()","null"
"orders","customer_id","uuid","null","YES","null","null"
"orders","payment_status","text","null","YES","'Unpaid'::text","null"
"orders","discount_amount","numeric","null","YES","null","null"
"orders","discount_value","numeric","null","YES","null","null"
"orders","subtotal","numeric","null","YES","null","null"
"payments","id","character varying","null","NO","null","null"
"payments","amount","numeric","null","NO","null","null"
"payments","payment_date","timestamp with time zone","null","YES","CURRENT_TIMESTAMP","null"
"payments","customer_id","character varying","null","YES","null","null"
"payments","status","character varying","null","YES","'completed'::character varying","null"
"payments","created_at","timestamp with time zone","null","YES","CURRENT_TIMESTAMP","null"
"products","id","uuid","null","NO","uuid_generate_v4()","null"
"products","name","text","null","NO","null","null"
"products","category","text","null","NO","null","null"
"products","description","text","null","YES","null","null"
"products","product_type","text","null","NO","'rental'::text","null"
"products","rental_price","numeric","null","YES","0","null"
"products","selling_price","numeric","null","YES","0","null"
"products","deposit","numeric","null","YES","0","null"
"products","specifications","jsonb","null","YES","'[]'::jsonb","null"
"products","purchase_date","text","null","YES","null","null"
"products","purchase_price","numeric","null","YES","0","null"
"products","created_at","timestamp with time zone","null","YES","now()","null"
"products","updated_at","timestamp with time zone","null","YES","now()","null"
"products","rented_to_customer_id","uuid","null","YES","null","null"
"products","rental_start_date","date","null","YES","null","null"
"products","rental_end_date","date","null","YES","null","null"
"products","status","USER-DEFINED","null","YES","null","null"
"products","image_urls","jsonb","null","YES","'[]'::jsonb","null"
"products","primary_image_url","text","null","YES","null","null"
"rentals","id","character varying","null","NO","null","null"
"rentals","customer_id","character varying","null","YES","null","null"
"rentals","customer_name","character varying","null","NO","null","null"
"rentals","items","jsonb","null","YES","null","null"
"rentals","return_date","date","null","YES","null","null"
